departurestation,Metric,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CXR,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXR,A1200_1259_to_A1700_1759,81.25,80.0,68.75,66.67,87.5,81.25,81.25
CXR,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,A0000_1259_to_A0500_0559,73.58,71.15,67.92,61.54,71.15,82.69,69.23
DAC,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAD,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAD,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAD,A1200_1259_to_A1700_1759,83.33,77.78,74.77,80.25,70.27,81.71,72.32
DAD,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEL,A0000_1259_to_A0500_0559,0.78,0.4,1.46,1.07,1.77,1.09,1.0
DEL,A0600_0659_to_A1100_1159,7.71,9.89,10.66,9.26,11.8,9.39,9.43
DEL,A1200_1259_to_A1700_1759,16.08,17.51,18.69,19.46,19.17,19.18,19.71
DEL,A1800_1859_to_A2300_2359,19.35,21.12,16.93,23.62,17.4,24.49,17.29
DMK,A0000_1259_to_A0500_0559,1.04,1.03,1.23,1.16,0.99,1.1,1.12
DMK,A0600_0659_to_A1100_1159,18.91,21.63,21.3,20.4,20.31,19.56,18.94
DMK,A1200_1259_to_A1700_1759,21.52,24.83,24.76,24.14,24.41,24.69,23.05
DMK,A1800_1859_to_A2300_2359,11.49,13.11,12.05,13.34,13.53,14.33,10.1
DPS,A0000_1259_to_A0500_0559,2.6,0.86,1.74,0.97,2.86,1.22,2.38
DPS,A0600_0659_to_A1100_1159,14.77,16.94,15.43,17.09,14.86,16.78,14.16
DPS,A1200_1259_to_A1700_1759,22.13,25.51,26.36,22.87,24.79,24.28,24.58
DPS,A1800_1859_to_A2300_2359,19.41,20.53,18.31,19.56,19.01,20.05,19.05
DRW,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRW,A0600_0659_to_A1100_1159,3.85,0.0,2.63,0.0,12.82,0.0,7.69
DRW,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRW,A1800_1859_to_A2300_2359,23.08,75.0,0.0,92.31,0.0,100.0,0.0
DSN,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSN,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSN,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSN,A1800_1859_to_A2300_2359,0.0,50.0,0.0,0.0,0.0,0.0,0.0
DVO,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVO,A0600_0659_to_A1100_1159,15.03,16.61,14.43,17.63,16.5,17.85,15.53
DVO,A1200_1259_to_A1700_1759,4.58,3.39,4.59,4.41,4.29,4.38,8.09
